date,year,month,day,weekday,hour,demand,temperature
05/03/2003,2003,3,5,4,2,12184,31
05/03/2003,2003,3,5,4,3,11961,31
05/03/2003,2003,3,5,4,4,11884,31
05/03/2003,2003,3,5,4,5,12150,32
05/03/2003,2003,3,5,4,6,13256,32
05/03/2003,2003,3,5,4,7,15276,33
05/03/2003,2003,3,5,4,8,16536,33
05/03/2003,2003,3,5,4,9,16874,34
05/03/2003,2003,3,5,4,10,16941,35
05/03/2003,2003,3,5,4,11,16984,37
05/03/2003,2003,3,5,4,12,16918,38
05/03/2003,2003,3,5,4,13,16721,39
05/03/2003,2003,3,5,4,14,16646,39
05/03/2003,2003,3,5,4,15,16426,40
05/03/2003,2003,3,5,4,16,16381,40
05/03/2003,2003,3,5,4,17,16745,40
05/03/2003,2003,3,5,4,18,17506,40
05/03/2003,2003,3,5,4,19,18091,40
05/03/2003,2003,3,5,4,20,17648,40
05/03/2003,2003,3,5,4,21,16898,39
05/03/2003,2003,3,5,4,22,15766,40
05/03/2003,2003,3,5,4,23,14152,41
05/03/2003,2003,3,5,4,24,12823,39
06/03/2003,2003,3,6,5,1,11971,37
06/03/2003,2003,3,6,5,2,11603,36
06/03/2003,2003,3,6,5,3,11454,35
06/03/2003,2003,3,6,5,4,11467,33
06/03/2003,2003,3,6,5,5,11813,31
06/03/2003,2003,3,6,5,6,13032,30
06/03/2003,2003,3,6,5,7,15164,29
06/03/2003,2003,3,6,5,8,16545,28
06/03/2003,2003,3,6,5,9,17029,28
06/03/2003,2003,3,6,5,10,17274,27
06/03/2003,2003,3,6,5,11,17543,27
06/03/2003,2003,3,6,5,12,17708,26
06/03/2003,2003,3,6,5,13,17733,24
06/03/2003,2003,3,6,5,14,17737,22
06/03/2003,2003,3,6,5,15,17503,22
06/03/2003,2003,3,6,5,16,17371,22
06/03/2003,2003,3,6,5,17,17658,21
06/03/2003,2003,3,6,5,18,18590,21
06/03/2003,2003,3,6,5,19,19481,20
06/03/2003,2003,3,6,5,20,19128,19
06/03/2003,2003,3,6,5,21,18275,19
06/03/2003,2003,3,6,5,22,17119,17
06/03/2003,2003,3,6,5,23,15609,16
06/03/2003,2003,3,6,5,24,14286,14
07/03/2003,2003,3,7,6,1,13519,12
07/03/2003,2003,3,7,6,2,13181,10
07/03/2003,2003,3,7,6,3,13069,9
07/03/2003,2003,3,7,6,4,13138,6
07/03/2003,2003,3,7,6,5,13533,6
07/03/2003,2003,3,7,6,6,14743,5
07/03/2003,2003,3,7,6,7,16677,3
07/03/2003,2003,3,7,6,8,17765,5
07/03/2003,2003,3,7,6,9,17900,9
07/03/2003,2003,3,7,6,10,17747,13
07/03/2003,2003,3,7,6,11,17573,17
07/03/2003,2003,3,7,6,12,17343,20
07/03/2003,2003,3,7,6,13,16966,22
07/03/2003,2003,3,7,6,14,16768,24
07/03/2003,2003,3,7,6,15,16421,25
07/03/2003,2003,3,7,6,16,16296,27
07/03/2003,2003,3,7,6,17,16520,27
07/03/2003,2003,3,7,6,18,17288,27
07/03/2003,2003,3,7,6,19,18162,26
07/03/2003,2003,3,7,6,20,17789,25
07/03/2003,2003,3,7,6,21,17137,25
07/03/2003,2003,3,7,6,22,16260,25
07/03/2003,2003,3,7,6,23,15039,25
07/03/2003,2003,3,7,6,24,13740,25
08/03/2003,2003,3,8,7,1,12788,25
08/03/2003,2003,3,8,7,2,12251,26
08/03/2003,2003,3,8,7,3,11974,27
08/03/2003,2003,3,8,7,4,11825,27
08/03/2003,2003,3,8,7,5,11881,27
08/03/2003,2003,3,8,7,6,12309,26
08/03/2003,2003,3,8,7,7,12934,26
08/03/2003,2003,3,8,7,8,13876,24
08/03/2003,2003,3,8,7,9,14745,28
08/03/2003,2003,3,8,7,10,15159,31
08/03/2003,2003,3,8,7,11,15126,35
08/03/2003,2003,3,8,7,12,14872,36
08/03/2003,2003,3,8,7,13,14432,38
08/03/2003,2003,3,8,7,14,14008,40
08/03/2003,2003,3,8,7,15,13679,41
08/03/2003,2003,3,8,7,16,13571,42
08/03/2003,2003,3,8,7,17,13849,41
08/03/2003,2003,3,8,7,18,14796,40
08/03/2003,2003,3,8,7,19,15975,39
08/03/2003,2003,3,8,7,20,15696,37
08/03/2003,2003,3,8,7,21,15188,36
08/03/2003,2003,3,8,7,22,14508,35
08/03/2003,2003,3,8,7,23,13554,35
08/03/2003,2003,3,8,7,24,12526,35
09/03/2003,2003,3,9,1,1,11696,36
09/03/2003,2003,3,9,1,2,11164,36
09/03/2003,2003,3,9,1,3,10892,37
09/03/2003,2003,3,9,1,4,10742,37
09/03/2003,2003,3,9,1,5,10718,38
09/03/2003,2003,3,9,1,6,10946,39
09/03/2003,2003,3,9,1,7,11261,39
09/03/2003,2003,3,9,1,8,11990,39
09/03/2003,2003,3,9,1,9,12900,40
09/03/2003,2003,3,9,1,10,13661,42
09/03/2003,2003,3,9,1,11,14012,42
09/03/2003,2003,3,9,1,12,14120,41
09/03/2003,2003,3,9,1,13,13999,40
09/03/2003,2003,3,9,1,14,13738,40
09/03/2003,2003,3,9,1,15,13511,39
09/03/2003,2003,3,9,1,16,13540,37
09/03/2003,2003,3,9,1,17,13987,35
09/03/2003,2003,3,9,1,18,15119,32
09/03/2003,2003,3,9,1,19,16619,28
09/03/2003,2003,3,9,1,20,16649,25
09/03/2003,2003,3,9,1,21,16196,23
09/03/2003,2003,3,9,1,22,15273,21
09/03/2003,2003,3,9,1,23,14061,19
09/03/2003,2003,3,9,1,24,13055,18
10/03/2003,2003,3,10,2,1,12446,17
10/03/2003,2003,3,10,2,2,12203,16
10/03/2003,2003,3,10,2,3,12147,15
10/03/2003,2003,3,10,2,4,12240,14
10/03/2003,2003,3,10,2,5,12670,13
10/03/2003,2003,3,10,2,6,13982,12
10/03/2003,2003,3,10,2,7,16079,12
10/03/2003,2003,3,10,2,8,17355,12
10/03/2003,2003,3,10,2,9,17630,14
10/03/2003,2003,3,10,2,10,17687,17
10/03/2003,2003,3,10,2,11,17736,19
10/03/2003,2003,3,10,2,12,17676,20
10/03/2003,2003,3,10,2,13,17477,20
10/03/2003,2003,3,10,2,14,17352,21
10/03/2003,2003,3,10,2,15,17104,21
10/03/2003,2003,3,10,2,16,16999,22
10/03/2003,2003,3,10,2,17,17310,22
10/03/2003,2003,3,10,2,18,18235,21
10/03/2003,2003,3,10,2,19,19393,19
10/03/2003,2003,3,10,2,20,19199,19
10/03/2003,2003,3,10,2,21,18492,18
10/03/2003,2003,3,10,2,22,17287,17
10/03/2003,2003,3,10,2,23,15688,16
10/03/2003,2003,3,10,2,24,14347,16
11/03/2003,2003,3,11,3,1,13552,15
11/03/2003,2003,3,11,3,2,13185,14
11/03/2003,2003,3,11,3,3,13068,14
11/03/2003,2003,3,11,3,4,13085,13
11/03/2003,2003,3,11,3,5,13444,13
11/03/2003,2003,3,11,3,6,14637,12
11/03/2003,2003,3,11,3,7,16641,11
11/03/2003,2003,3,11,3,8,17740,13
11/03/2003,2003,3,11,3,9,17814,17
11/03/2003,2003,3,11,3,10,17687,19
11/03/2003,2003,3,11,3,11,17548,22
11/03/2003,2003,3,11,3,12,17336,25
11/03/2003,2003,3,11,3,13,17055,28
11/03/2003,2003,3,11,3,14,16861,30
11/03/2003,2003,3,11,3,15,16557,32
11/03/2003,2003,3,11,3,16,16465,33
11/03/2003,2003,3,11,3,17,16820,34
11/03/2003,2003,3,11,3,18,17717,34
11/03/2003,2003,3,11,3,19,18679,33
11/03/2003,2003,3,11,3,20,18345,31
11/03/2003,2003,3,11,3,21,17613,31
11/03/2003,2003,3,11,3,22,16420,30
11/03/2003,2003,3,11,3,23,14803,30
11/03/2003,2003,3,11,3,24,13411,30
12/03/2003,2003,3,12,4,1,12539,30
12/03/2003,2003,3,12,4,2,12121,30
12/03/2003,2003,3,12,4,3,11917,30
12/03/2003,2003,3,12,4,4,11887,30
12/03/2003,2003,3,12,4,5,12168,31
12/03/2003,2003,3,12,4,6,13328,31
12/03/2003,2003,3,12,4,7,15317,31
12/03/2003,2003,3,12,4,8,16534,31
12/03/2003,2003,3,12,4,9,16720,33
12/03/2003,2003,3,12,4,10,16612,36
12/03/2003,2003,3,12,4,11,16511,39
12/03/2003,2003,3,12,4,12,16333,42
12/03/2003,2003,3,12,4,13,16064,44
12/03/2003,2003,3,12,4,14,15897,45
12/03/2003,2003,3,12,4,15,15708,47
12/03/2003,2003,3,12,4,16,15670,47
12/03/2003,2003,3,12,4,17,15914,47
12/03/2003,2003,3,12,4,18,16556,46
12/03/2003,2003,3,12,4,19,17606,44
12/03/2003,2003,3,12,4,20,17387,42
12/03/2003,2003,3,12,4,21,16747,42
12/03/2003,2003,3,12,4,22,15624,40
12/03/2003,2003,3,12,4,23,14028,40
12/03/2003,2003,3,12,4,24,12675,38
13/03/2003,2003,3,13,5,1,11808,39
13/03/2003,2003,3,13,5,2,11421,37
13/03/2003,2003,3,13,5,3,11233,37
13/03/2003,2003,3,13,5,4,11230,36
13/03/2003,2003,3,13,5,5,11544,35
13/03/2003,2003,3,13,5,6,12737,34
13/03/2003,2003,3,13,5,7,14828,33
13/03/2003,2003,3,13,5,8,16215,32
13/03/2003,2003,3,13,5,9,16631,32
13/03/2003,2003,3,13,5,10,16777,32
13/03/2003,2003,3,13,5,11,16919,31
13/03/2003,2003,3,13,5,12,17001,30
13/03/2003,2003,3,13,5,13,16954,30
13/03/2003,2003,3,13,5,14,17013,29
13/03/2003,2003,3,13,5,15,16945,28
13/03/2003,2003,3,13,5,16,16990,28
13/03/2003,2003,3,13,5,17,17334,27
13/03/2003,2003,3,13,5,18,17924,27
13/03/2003,2003,3,13,5,19,18692,27
13/03/2003,2003,3,13,5,20,18376,27
13/03/2003,2003,3,13,5,21,17616,26
13/03/2003,2003,3,13,5,22,16436,26
13/03/2003,2003,3,13,5,23,14938,26
13/03/2003,2003,3,13,5,24,13694,24
14/03/2003,2003,3,14,6,1,12876,21
14/03/2003,2003,3,14,6,2,12567,19
14/03/2003,2003,3,14,6,3,12452,17
14/03/2003,2003,3,14,6,4,12501,15
14/03/2003,2003,3,14,6,5,12853,15
14/03/2003,2003,3,14,6,6,14027,14
14/03/2003,2003,3,14,6,7,15944,13
14/03/2003,2003,3,14,6,8,17182,14
14/03/2003,2003,3,14,6,9,17425,15
14/03/2003,2003,3,14,6,10,17448,17
14/03/2003,2003,3,14,6,11,17420,19
14/03/2003,2003,3,14,6,12,17263,21
14/03/2003,2003,3,14,6,13,16898,22
14/03/2003,2003,3,14,6,14,16656,24
14/03/2003,2003,3,14,6,15,16287,26
14/03/2003,2003,3,14,6,16,16034,27
14/03/2003,2003,3,14,6,17,16129,29
14/03/2003,2003,3,14,6,18,16664,29
14/03/2003,2003,3,14,6,19,17755,27
14/03/2003,2003,3,14,6,20,17546,27
14/03/2003,2003,3,14,6,21,16923,26
14/03/2003,2003,3,14,6,22,16054,25
14/03/2003,2003,3,14,6,23,14822,26
14/03/2003,2003,3,14,6,24,13586,25
15/03/2003,2003,3,15,7,1,12645,25
15/03/2003,2003,3,15,7,2,12136,26
15/03/2003,2003,3,15,7,3,11856,26
15/03/2003,2003,3,15,7,4,11718,26
15/03/2003,2003,3,15,7,5,11778,26
15/03/2003,2003,3,15,7,6,12179,27
15/03/2003,2003,3,15,7,7,12807,27
15/03/2003,2003,3,15,7,8,13861,27
15/03/2003,2003,3,15,7,9,14928,28
15/03/2003,2003,3,15,7,10,15435,29
15/03/2003,2003,3,15,7,11,15480,32
15/03/2003,2003,3,15,7,12,15270,34
15/03/2003,2003,3,15,7,13,14846,36
15/03/2003,2003,3,15,7,14,14408,37
15/03/2003,2003,3,15,7,15,14087,39
15/03/2003,2003,3,15,7,16,13913,40
15/03/2003,2003,3,15,7,17,14013,40
15/03/2003,2003,3,15,7,18,14603,38
15/03/2003,2003,3,15,7,19,15804,37
15/03/2003,2003,3,15,7,20,15699,35
15/03/2003,2003,3,15,7,21,15246,34
15/03/2003,2003,3,15,7,22,14573,33
15/03/2003,2003,3,15,7,23,13645,32
15/03/2003,2003,3,15,7,24,12655,31
16/03/2003,2003,3,16,1,1,11849,30
16/03/2003,2003,3,16,1,2,11382,29
16/03/2003,2003,3,16,1,3,11143,28
16/03/2003,2003,3,16,1,4,11043,28
16/03/2003,2003,3,16,1,5,11094,28
16/03/2003,2003,3,16,1,6,11348,27
16/03/2003,2003,3,16,1,7,11688,27
16/03/2003,2003,3,16,1,8,12402,28
16/03/2003,2003,3,16,1,9,13191,33
16/03/2003,2003,3,16,1,10,13672,37
16/03/2003,2003,3,16,1,11,13786,40
16/03/2003,2003,3,16,1,12,13743,44
16/03/2003,2003,3,16,1,13,13521,47
16/03/2003,2003,3,16,1,14,13162,51
16/03/2003,2003,3,16,1,15,12871,52
16/03/2003,2003,3,16,1,16,12820,52
16/03/2003,2003,3,16,1,17,13122,53
16/03/2003,2003,3,16,1,18,13933,51
16/03/2003,2003,3,16,1,19,15309,48
16/03/2003,2003,3,16,1,20,15380,47
16/03/2003,2003,3,16,1,21,14862,45
16/03/2003,2003,3,16,1,22,13860,42
16/03/2003,2003,3,16,1,23,12619,42
16/03/2003,2003,3,16,1,24,11542,41
17/03/2003,2003,3,17,2,1,10836,41
17/03/2003,2003,3,17,2,2,10530,40
17/03/2003,2003,3,17,2,3,10407,40
17/03/2003,2003,3,17,2,4,10424,40
17/03/2003,2003,3,17,2,5,10772,38
17/03/2003,2003,3,17,2,6,11967,37
17/03/2003,2003,3,17,2,7,13950,37
17/03/2003,2003,3,17,2,8,15242,38
17/03/2003,2003,3,17,2,9,15578,43
17/03/2003,2003,3,17,2,10,15661,47
17/03/2003,2003,3,17,2,11,15735,51
17/03/2003,2003,3,17,2,12,15686,54
17/03/2003,2003,3,17,2,13,15509,57
17/03/2003,2003,3,17,2,14,15468,58
17/03/2003,2003,3,17,2,15,15259,59
17/03/2003,2003,3,17,2,16,15114,59
17/03/2003,2003,3,17,2,17,15167,59
17/03/2003,2003,3,17,2,18,15619,57
17/03/2003,2003,3,17,2,19,16704,54
17/03/2003,2003,3,17,2,20,16530,51
17/03/2003,2003,3,17,2,21,15701,49
17/03/2003,2003,3,17,2,22,14544,47
17/03/2003,2003,3,17,2,23,12981,45
17/03/2003,2003,3,17,2,24,11680,45
18/03/2003,2003,3,18,3,1,10858,43
18/03/2003,2003,3,18,3,2,10479,40
18/03/2003,2003,3,18,3,3,10293,39
18/03/2003,2003,3,18,3,4,10284,40
18/03/2003,2003,3,18,3,5,10597,39
18/03/2003,2003,3,18,3,6,11783,39
18/03/2003,2003,3,18,3,7,13851,40
18/03/2003,2003,3,18,3,8,15284,39
18/03/2003,2003,3,18,3,9,15677,40
18/03/2003,2003,3,18,3,10,15741,43
18/03/2003,2003,3,18,3,11,15739,45
18/03/2003,2003,3,18,3,12,15660,46
18/03/2003,2003,3,18,3,13,15450,49
18/03/2003,2003,3,18,3,14,15363,50
18/03/2003,2003,3,18,3,15,15158,50
18/03/2003,2003,3,18,3,16,15043,51
18/03/2003,2003,3,18,3,17,15222,50
18/03/2003,2003,3,18,3,18,15822,49
18/03/2003,2003,3,18,3,19,16931,45
18/03/2003,2003,3,18,3,20,16828,43
18/03/2003,2003,3,18,3,21,16128,41
18/03/2003,2003,3,18,3,22,14995,39
18/03/2003,2003,3,18,3,23,13468,37
18/03/2003,2003,3,18,3,24,12137,36
19/03/2003,2003,3,19,4,1,11342,34
19/03/2003,2003,3,19,4,2,11009,33
19/03/2003,2003,3,19,4,3,10867,31
19/03/2003,2003,3,19,4,4,10916,30
19/03/2003,2003,3,19,4,5,11272,29
19/03/2003,2003,3,19,4,6,12496,28
19/03/2003,2003,3,19,4,7,14505,27
19/03/2003,2003,3,19,4,8,15807,28
19/03/2003,2003,3,19,4,9,16121,30
19/03/2003,2003,3,19,4,10,16141,32
19/03/2003,2003,3,19,4,11,16145,33
19/03/2003,2003,3,19,4,12,16042,35
19/03/2003,2003,3,19,4,13,15801,35
19/03/2003,2003,3,19,4,14,15658,37
19/03/2003,2003,3,19,4,15,15427,38
19/03/2003,2003,3,19,4,16,15281,38
19/03/2003,2003,3,19,4,17,15507,38
19/03/2003,2003,3,19,4,18,16152,37
19/03/2003,2003,3,19,4,19,17438,35
19/03/2003,2003,3,19,4,20,17445,33
19/03/2003,2003,3,19,4,21,16771,31
19/03/2003,2003,3,19,4,22,15699,30
19/03/2003,2003,3,19,4,23,14164,29
19/03/2003,2003,3,19,4,24,12817,29
20/03/2003,2003,3,20,5,1,12000,28
20/03/2003,2003,3,20,5,2,11613,27
20/03/2003,2003,3,20,5,3,11459,27
20/03/2003,2003,3,20,5,4,11458,27
20/03/2003,2003,3,20,5,5,11796,26
20/03/2003,2003,3,20,5,6,12926,26
20/03/2003,2003,3,20,5,7,14890,27
20/03/2003,2003,3,20,5,8,16133,28
20/03/2003,2003,3,20,5,9,16397,30
20/03/2003,2003,3,20,5,10,16394,32
20/03/2003,2003,3,20,5,11,16471,34
20/03/2003,2003,3,20,5,12,16406,35
20/03/2003,2003,3,20,5,13,16214,36
20/03/2003,2003,3,20,5,14,16107,38
20/03/2003,2003,3,20,5,15,15950,39
20/03/2003,2003,3,20,5,16,15977,39
20/03/2003,2003,3,20,5,17,16390,39
20/03/2003,2003,3,20,5,18,17077,38
20/03/2003,2003,3,20,5,19,17698,38
20/03/2003,2003,3,20,5,20,17352,37
20/03/2003,2003,3,20,5,21,16634,37
20/03/2003,2003,3,20,5,22,15395,37
20/03/2003,2003,3,20,5,23,13809,37
20/03/2003,2003,3,20,5,24,12462,37
21/03/2003,2003,3,21,6,1,11582,38
21/03/2003,2003,3,21,6,2,11105,39
21/03/2003,2003,3,21,6,3,10863,40
21/03/2003,2003,3,21,6,4,10727,41
21/03/2003,2003,3,21,6,5,10948,42
21/03/2003,2003,3,21,6,6,12000,43
21/03/2003,2003,3,21,6,7,13924,44
21/03/2003,2003,3,21,6,8,15352,45
21/03/2003,2003,3,21,6,9,15821,46
21/03/2003,2003,3,21,6,10,15941,47
21/03/2003,2003,3,21,6,11,15995,49
21/03/2003,2003,3,21,6,12,15874,52
21/03/2003,2003,3,21,6,13,15622,56
21/03/2003,2003,3,21,6,14,15443,59
21/03/2003,2003,3,21,6,15,15203,59
21/03/2003,2003,3,21,6,16,14971,60
21/03/2003,2003,3,21,6,17,14929,60
21/03/2003,2003,3,21,6,18,15163,59
21/03/2003,2003,3,21,6,19,15972,55
21/03/2003,2003,3,21,6,20,15701,53
21/03/2003,2003,3,21,6,21,15043,51
21/03/2003,2003,3,21,6,22,14150,50
21/03/2003,2003,3,21,6,23,12912,50
21/03/2003,2003,3,21,6,24,11714,50
22/03/2003,2003,3,22,7,1,10807,49
22/03/2003,2003,3,22,7,2,10259,47
22/03/2003,2003,3,22,7,3,9989,46
22/03/2003,2003,3,22,7,4,9860,45
22/03/2003,2003,3,22,7,5,9926,45
22/03/2003,2003,3,22,7,6,10302,44
22/03/2003,2003,3,22,7,7,10955,43
22/03/2003,2003,3,22,7,8,12096,43
22/03/2003,2003,3,22,7,9,13326,45
22/03/2003,2003,3,22,7,10,14037,47
22/03/2003,2003,3,22,7,11,14366,50
22/03/2003,2003,3,22,7,12,14265,51
22/03/2003,2003,3,22,7,13,13949,53
22/03/2003,2003,3,22,7,14,13584,54
22/03/2003,2003,3,22,7,15,13232,55
22/03/2003,2003,3,22,7,16,13051,56
22/03/2003,2003,3,22,7,17,13214,55
22/03/2003,2003,3,22,7,18,13773,53
22/03/2003,2003,3,22,7,19,14735,51
22/03/2003,2003,3,22,7,20,14582,49
22/03/2003,2003,3,22,7,21,14030,47
22/03/2003,2003,3,22,7,22,13276,47
22/03/2003,2003,3,22,7,23,12288,46
22/03/2003,2003,3,22,7,24,11311,44
23/03/2003,2003,3,23,1,1,10486,43
23/03/2003,2003,3,23,1,2,10017,43
23/03/2003,2003,3,23,1,3,9779,42
23/03/2003,2003,3,23,1,4,9687,41
23/03/2003,2003,3,23,1,5,9751,41
23/03/2003,2003,3,23,1,6,9943,40
23/03/2003,2003,3,23,1,7,10336,39
23/03/2003,2003,3,23,1,8,11153,40
23/03/2003,2003,3,23,1,9,12172,43
23/03/2003,2003,3,23,1,10,12908,45
23/03/2003,2003,3,23,1,11,13229,46
23/03/2003,2003,3,23,1,12,13371,48
23/03/2003,2003,3,23,1,13,13293,48
23/03/2003,2003,3,23,1,14,13040,48
23/03/2003,2003,3,23,1,15,12774,49
23/03/2003,2003,3,23,1,16,12696,49
23/03/2003,2003,3,23,1,17,13054,49
23/03/2003,2003,3,23,1,18,13910,48
23/03/2003,2003,3,23,1,19,15119,47
23/03/2003,2003,3,23,1,20,15187,45
23/03/2003,2003,3,23,1,21,14606,44
23/03/2003,2003,3,23,1,22,13562,43
23/03/2003,2003,3,23,1,23,12360,42
23/03/2003,2003,3,23,1,24,11333,41
24/03/2003,2003,3,24,2,1,10652,40
24/03/2003,2003,3,24,2,2,10285,39
24/03/2003,2003,3,24,2,3,10184,38
24/03/2003,2003,3,24,2,4,10235,38
24/03/2003,2003,3,24,2,5,10615,36
24/03/2003,2003,3,24,2,6,11754,36
24/03/2003,2003,3,24,2,7,13750,34
24/03/2003,2003,3,24,2,8,15100,37
24/03/2003,2003,3,24,2,9,15474,42
24/03/2003,2003,3,24,2,10,15522,45
24/03/2003,2003,3,24,2,11,15586,46
24/03/2003,2003,3,24,2,12,15510,47
24/03/2003,2003,3,24,2,13,15298,49
24/03/2003,2003,3,24,2,14,15171,50
24/03/2003,2003,3,24,2,15,14954,51
24/03/2003,2003,3,24,2,16,14810,52
24/03/2003,2003,3,24,2,17,14929,51
24/03/2003,2003,3,24,2,18,15432,51
24/03/2003,2003,3,24,2,19,16587,48
24/03/2003,2003,3,24,2,20,16646,45
24/03/2003,2003,3,24,2,21,15946,43
24/03/2003,2003,3,24,2,22,14766,41
24/03/2003,2003,3,24,2,23,13184,39
24/03/2003,2003,3,24,2,24,11857,39
25/03/2003,2003,3,25,3,1,11025,37
25/03/2003,2003,3,25,3,2,10647,37
25/03/2003,2003,3,25,3,3,10485,36
25/03/2003,2003,3,25,3,4,10496,36
25/03/2003,2003,3,25,3,5,10830,36
25/03/2003,2003,3,25,3,6,11968,36
25/03/2003,2003,3,25,3,7,14019,35
25/03/2003,2003,3,25,3,8,15422,37
25/03/2003,2003,3,25,3,9,15760,39
25/03/2003,2003,3,25,3,10,15758,42
25/03/2003,2003,3,25,3,11,15764,44
25/03/2003,2003,3,25,3,12,15654,48
25/03/2003,2003,3,25,3,13,15448,50
25/03/2003,2003,3,25,3,14,15294,52
25/03/2003,2003,3,25,3,15,15083,53
25/03/2003,2003,3,25,3,16,14954,54
25/03/2003,2003,3,25,3,17,15086,53
25/03/2003,2003,3,25,3,18,15591,52
25/03/2003,2003,3,25,3,19,16721,48
25/03/2003,2003,3,25,3,20,16747,45
25/03/2003,2003,3,25,3,21,16046,43
25/03/2003,2003,3,25,3,22,14851,41
25/03/2003,2003,3,25,3,23,13286,40
25/03/2003,2003,3,25,3,24,11894,40
26/03/2003,2003,3,26,4,1,11031,40
26/03/2003,2003,3,26,4,2,10617,40
26/03/2003,2003,3,26,4,3,10414,40
26/03/2003,2003,3,26,4,4,10389,39
26/03/2003,2003,3,26,4,5,10686,39
26/03/2003,2003,3,26,4,6,11765,39
